health_impact_indicator,location,geography_type,unit,record_count,avg_health_impact_value,health_impact_rank
"Asthma emergency department visits due to PM2.5","Central Harlem - Morningside Heights",UHF42,"per 100,000 children",5,260.0078,1
"Asthma emergency department visits due to PM2.5","East Harlem",UHF42,"per 100,000 children",5,254.0858,2
"Asthma emergency department visits due to PM2.5","High Bridge - Morrisania",UHF42,"per 100,000 children",5,223.2888,3
"Asthma emergency department visits due to PM2.5","Hunts Point - Mott Haven",UHF42,"per 100,000 children",5,220.9577,4
"Asthma emergency department visits due to PM2.5","Crotona -Tremont",UHF42,"per 100,000 children",5,191.5283,5
"Asthma emergency department visits due to PM2.5",Bronx,Borough,"per 100,000 children",5,155.8474,6
"Asthma emergency department visits due to PM2.5","Bedford Stuyvesant - Crown Heights",UHF42,"per 100,000 children",5,154.0382,7
"Asthma emergency department visits due to PM2.5","Fordham - Bronx Pk",UHF42,"per 100,000 children",5,149.4002,8
"Asthma emergency department visits due to PM2.5","Williamsburg - Bushwick",UHF42,"per 100,000 children",5,146.2917,9
"Asthma emergency department visits due to PM2.5","East New York",UHF42,"per 100,000 children",5,137.5566,10
"Asthma emergency departments visits due to Ozone","Central Harlem - Morningside Heights",UHF42,"per 100,000 children",5,249.9400,1
"Asthma emergency departments visits due to Ozone","East Harlem",UHF42,"per 100,000 children",5,247.7400,2
"Asthma emergency departments visits due to Ozone","Hunts Point - Mott Haven",UHF42,"per 100,000 children",5,206.0600,3
"Asthma emergency departments visits due to Ozone","High Bridge - Morrisania",UHF42,"per 100,000 children",5,204.7800,4
"Asthma emergency departments visits due to Ozone","Crotona -Tremont",UHF42,"per 100,000 children",5,187.0000,5
"Asthma emergency departments visits due to Ozone","Bedford Stuyvesant - Crown Heights",UHF42,"per 100,000 children",5,175.7800,6
"Asthma emergency departments visits due to Ozone",Bronx,Borough,"per 100,000 children",5,163.1400,7
"Asthma emergency departments visits due to Ozone","Fordham - Bronx Pk",UHF42,"per 100,000 children",5,162.2400,8
"Asthma emergency departments visits due to Ozone","Williamsburg - Bushwick",UHF42,"per 100,000 children",5,156.9400,9
"Asthma emergency departments visits due to Ozone","East New York",UHF42,"per 100,000 children",5,156.5600,10
"Asthma hospitalizations due to Ozone","Hunts Point - Mott Haven",UHF42,"per 100,000 children",5,42.4000,1
